epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.307,1.84655,2.36877,1.56678,0.51841,0.55346,0.48755,0.18316,2.09501,2.15315,1.78101,0.000554415,0.000554415,0.000554415
2,234.15,1.72548,1.8207,1.50366,0.51439,0.57627,0.53806,0.23135,1.80677,1.82572,1.57797,0.0010881,0.0010881,0.0010881
3,349.924,1.71974,1.6947,1.49174,0.59688,0.65105,0.59301,0.21675,2.11363,1.55367,1.76766,0.00159978,0.00159978,0.00159978
4,466.939,1.68784,1.58346,1.47886,0.55385,0.6375,0.59317,0.2633,1.92706,1.62927,1.65352,0.00156798,0.00156798,0.00156798
5,584.689,1.6558,1.50477,1.45479,0.59975,0.61892,0.59557,0.22839,2.10179,1.55491,1.73488,0.00153497,0.00153497,0.00153497
6,703.127,1.63228,1.43256,1.44642,0.64172,0.66483,0.68974,0.31483,1.81609,1.33643,1.56888,0.00150197,0.00150197,0.00150197
7,821.833,1.6177,1.40272,1.43331,0.61826,0.63098,0.59675,0.2106,2.25591,1.38685,1.82158,0.00146896,0.00146896,0.00146896
8,941.051,1.61382,1.36427,1.43108,0.67727,0.57664,0.63796,0.27756,1.9023,1.36483,1.64173,0.00143595,0.00143595,0.00143595
9,1060.26,1.5738,1.3183,1.41206,0.6509,0.63315,0.59684,0.20585,2.32506,1.46746,1.90789,0.00140295,0.00140295,0.00140295
10,1179.74,1.56412,1.27309,1.40276,0.76047,0.70756,0.73089,0.32233,1.91432,1.25717,1.61215,0.00136994,0.00136994,0.00136994
11,1299.52,1.5528,1.24384,1.38261,0.72366,0.67772,0.70972,0.3024,2.00023,1.28779,1.67779,0.00133693,0.00133693,0.00133693
12,1419.35,1.52516,1.20515,1.37606,0.69396,0.66522,0.67353,0.25062,2.14355,1.32602,1.73714,0.00130393,0.00130393,0.00130393
13,1540.35,1.5366,1.21066,1.37843,0.71976,0.66902,0.71851,0.30912,1.92121,1.22571,1.59435,0.00127092,0.00127092,0.00127092
14,1660.4,1.50759,1.16666,1.36413,0.72068,0.69254,0.70491,0.31769,1.8714,1.19234,1.60019,0.00123791,0.00123791,0.00123791
15,1780.37,1.50364,1.14663,1.364,0.7541,0.6587,0.71241,0.29523,2.03703,1.28075,1.68222,0.00120491,0.00120491,0.00120491
16,1898.16,1.48298,1.12411,1.35639,0.73617,0.73641,0.70351,0.27371,2.08682,1.19225,1.74685,0.0011719,0.0011719,0.0011719
17,2014.83,1.47152,1.1109,1.34159,0.71395,0.74047,0.74804,0.3118,1.97407,1.15356,1.63799,0.00113889,0.00113889,0.00113889
18,2132.6,1.48036,1.09268,1.33991,0.75195,0.69995,0.73869,0.27804,2.15726,1.17413,1.75955,0.00110589,0.00110589,0.00110589
19,2251.12,1.45175,1.07345,1.3288,0.79146,0.7168,0.766,0.33887,1.84976,1.14234,1.55054,0.00107288,0.00107288,0.00107288
20,2370.08,1.44296,1.05528,1.32253,0.74691,0.75978,0.733,0.26927,2.13272,1.1039,1.76789,0.00103987,0.00103987,0.00103987
