epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2081.99,1.87766,2.41386,1.59951,0.50215,0.5087,0.47885,0.19518,2.01266,2.00831,1.72252,0.000554415,0.000554415,0.000554415
2,3591.45,1.73782,1.88067,1.5255,0.53282,0.57174,0.52649,0.17512,2.23915,1.76359,1.87581,0.0010881,0.0010881,0.0010881
3,5093.98,1.74192,1.74199,1.51639,0.55057,0.54565,0.51194,0.18486,2.13127,1.76421,1.80715,0.00159978,0.00159978,0.00159978
4,6587.31,1.70705,1.65036,1.50035,0.5302,0.6025,0.53994,0.17584,2.31609,1.57856,1.97264,0.00156798,0.00156798,0.00156798
5,7910.05,1.67214,1.55107,1.47108,0.63212,0.59007,0.61512,0.22039,2.19492,1.61704,1.82948,0.00153497,0.00153497,0.00153497
6,8997.81,1.63418,1.47376,1.44724,0.72349,0.63608,0.72119,0.30323,1.86472,1.35631,1.58107,0.00150197,0.00150197,0.00150197
7,10086.2,1.62449,1.42685,1.45039,0.66927,0.57438,0.63966,0.24649,2.12934,1.47989,1.73865,0.00146896,0.00146896,0.00146896
8,11402.8,1.60804,1.38564,1.43764,0.66492,0.6712,0.65588,0.2691,2.00057,1.36272,1.68637,0.00143595,0.00143595,0.00143595
9,12797.7,1.59311,1.3504,1.41526,0.7025,0.65435,0.69874,0.28631,1.95934,1.28204,1.62308,0.00140295,0.00140295,0.00140295
10,14030.9,1.56741,1.30711,1.39642,0.66834,0.64022,0.65606,0.25122,2.08183,1.40283,1.74394,0.00136994,0.00136994,0.00136994
11,15182.3,1.55283,1.27576,1.39727,0.73171,0.59674,0.63477,0.2396,2.13964,1.42057,1.77531,0.00133693,0.00133693,0.00133693
